model,LS,MAE,date,horizon,place,forecast_date
resample_80_last_10,-0.0437,11.0000,2020-06-03,3.0000,WI,2020-05-31
resample_80_last_10,-0.0437,3.0000,2020-06-03,3.0000,MS,2020-05-31
resample_80_last_10,-0.0437,39.0000,2020-06-03,3.0000,CT,2020-05-31
resample_80_last_10,-0.0437,0.0000,2020-06-03,3.0000,WY,2020-05-31
resample_80_last_10,-0.0437,3.0000,2020-06-03,3.0000,UT,2020-05-31
resample_80_last_10,-0.0437,8.0000,2020-06-03,3.0000,CA,2020-05-31
resample_80_last_10,-0.0437,143.0000,2020-06-03,3.0000,MA,2020-05-31
resample_80_last_10,-0.0437,6.0000,2020-06-03,3.0000,NH,2020-05-31
resample_80_last_10,-0.0437,3.0000,2020-06-03,3.0000,OR,2020-05-31
resample_80_last_10,-0.0437,19.0000,2020-06-03,3.0000,SC,2020-05-31
resample_80_last_10,-0.0437,8.0000,2020-06-03,3.0000,KS,2020-05-31
resample_80_last_10,-0.0437,62.0000,2020-06-03,3.0000,OH,2020-05-31
resample_80_last_10,-0.0437,26.0000,2020-06-03,3.0000,VA,2020-05-31
resample_80_last_10,-0.0437,1.0000,2020-06-03,3.0000,AR,2020-05-31
resample_80_last_10,-0.0437,4.0000,2020-06-03,3.0000,KY,2020-05-31
resample_80_last_10,-0.0437,2.0000,2020-06-03,3.0000,ME,2020-05-31
resample_80_last_10,-0.0437,15.5000,2020-06-03,3.0000,MI,2020-05-31
resample_80_last_10,-0.0437,0.0000,2020-06-03,3.0000,AK,2020-05-31
resample_80_last_10,-0.0437,29.0000,2020-06-03,3.0000,IL,2020-05-31
resample_80_last_10,-0.0437,10.0000,2020-06-03,3.0000,IN,2020-05-31
resample_80_last_10,-0.0437,2.0000,2020-06-03,3.0000,MO,2020-05-31
resample_80_last_10,-0.0437,1.0000,2020-06-03,3.0000,NC,2020-05-31
resample_80_last_10,-0.0437,6.0000,2020-06-03,3.0000,DC,2020-05-31
resample_80_last_10,-0.0437,2.0000,2020-06-03,3.0000,ND,2020-05-31
resample_80_last_10,-0.0437,0.0000,2020-06-03,3.0000,VT,2020-05-31
resample_80_last_10,-0.0437,0.0000,2020-06-03,3.0000,ID,2020-05-31
resample_80_last_10,-0.0437,0.0000,2020-06-03,3.0000,OK,2020-05-31
resample_80_last_10,-0.0437,25.0000,2020-06-03,3.0000,AZ,2020-05-31
resample_80_last_10,-0.0437,7.0000,2020-06-03,3.0000,IA,2020-05-31
resample_80_last_10,-0.0437,2.0000,2020-06-03,3.0000,NV,2020-05-31
resample_80_last_10,-0.0437,0.0000,2020-06-03,3.0000,HI,2020-05-31
resample_80_last_10,-0.0437,11.0000,2020-06-03,3.0000,MD,2020-05-31
resample_80_last_10,-0.0437,37.0000,2020-06-03,3.0000,NY,2020-05-31
